age,name,selling_price,km_driven,transmission,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,owner_encoded,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol
17,225000.0,175000,78380,1,0,1,0,0.0,0,0,0,0,1
12,509999.85714285716,434999,110000,1,0,1,0,1.0,0,1,0,0,0
14,205000.0,170000,90000,1,0,1,0,2.0,0,1,0,0,0
13,203461.53846153847,190000,90000,1,0,1,0,2.0,0,1,0,0,0
15,288333.3333333333,250000,150000,1,0,1,0,2.0,0,1,0,0,0
15,296666.6666666667,229999,230000,1,0,1,0,2.0,0,1,0,0,0
18,90000.0,140000,70000,1,0,1,0,2.0,0,0,0,0,1
7,441407.3703703704,600000,80362,1,0,1,0,0.0,0,1,0,0,0
12,287000.0,280000,110000,1,0,1,0,2.0,0,0,0,0,1
12,203076.92307692306,150000,60000,1,0,1,0,0.0,0,1,0,0,0
9,599666.6666666666,650000,50000,0,0,1,0,0.0,0,1,0,0,0
10,373250.0,210000,40000,1,0,1,0,1.0,0,0,0,0,1
7,4800000.0,2900000,40000,0,0,1,0,0.0,0,1,0,0,0
11,300000.0,425000,20000,1,1,0,0,0.0,0,1,0,0,0
10,282500.0,265000,55000,1,1,0,0,0.0,0,0,0,0,1
6,215000.0,890000,1136,1,1,0,0,0.0,0,0,0,0,1
11,473912.54207436397,365000,55000,1,1,0,0,0.0,0,0,0,0,1
10,231666.66666666666,350000,43000,1,1,0,0,0.0,0,0,0,0,1
8,700000.0,685000,60000,1,0,1,0,0.0,0,1,0,0,0
6,473912.54207436397,940000,2650,1,1,0,0,0.0,0,1,0,0,0
7,733333.3333333334,1000000,40000,1,0,1,0,0.0,0,1,0,0,0
5,473912.54207436397,1150000,15000,1,1,0,0,0.0,0,0,0,0,1
8,852500.0,450000,115962,1,0,1,0,1.0,0,1,0,0,0
9,473912.54207436397,590000,65000,1,1,0,0,0.0,0,1,0,0,0
7,473912.54207436397,800000,40000,1,0,1,0,0.0,0,1,0,0,0
12,367499.75,385000,58000,1,1,0,0,0.0,0,1,0,0,0
11,473912.54207436397,2000000,15000,0,0,1,0,0.0,0,1,0,0,0
12,242740.74074074073,235000,54000,1,1,0,0,0.0,0,0,0,0,1
7,720000.0,640000,56000,1,1,0,0,0.0,0,1,0,0,0
18,117310.27586206897,52000,120000,1,0,1,0,2.0,0,0,0,0,1
15,473912.54207436397,80000,90000,1,0,1,0,1.0,0,0,0,1,0
12,114275.79310344828,140000,70000,1,0,1,0,1.0,0,0,0,0,1
16,123000.0,120000,90000,1,0,1,0,1.0,0,0,0,0,1
16,473912.54207436397,89999,213000,1,0,1,0,0.0,0,1,0,0,0
12,473912.54207436397,180000,120000,1,0,1,0,0.0,0,1,0,0,0
7,1393333.3333333333,1500000,20000,1,0,1,0,0.0,0,1,0,0,0
7,591250.0,700000,10000,1,0,1,0,0.0,0,0,0,0,1
12,250000.0,285000,80000,1,0,1,0,1.0,0,1,0,0,0
9,375000.0,390000,90000,1,0,1,0,0.0,0,0,0,0,1
16,144323.0,125000,80000,1,0,1,0,0.0,0,0,0,0,1
16,175000.0,225000,60000,1,0,1,0,1.0,0,0,0,0,1
13,214999.83333333334,175000,139000,1,0,1,0,1.0,0,0,0,0,1
13,656250.0,1075000,160000,1,0,1,0,1.0,0,1,0,0,0
10,600000.0,300000,150000,1,0,1,0,0.0,0,1,0,0,0
14,400000.0,700000,163000,1,0,1,0,3.0,0,1,0,0,0
15,473912.54207436397,90000,120000,1,1,0,0,0.0,0,1,0,0,0
13,197666.66666666666,120000,120000,1,0,1,0,1.0,0,1,0,0,0
12,181909.0909090909,220000,100000,1,0,1,0,1.0,0,1,0,0,0
9,375000.0,300000,140000,1,1,0,0,0.0,0,1,0,0,0
14,260000.0,180000,87000,1,1,0,0,1.0,0,1,0,0,0
11,71166.66666666667,170000,70000,1,0,1,0,0.0,0,0,0,0,1
9,248333.33333333334,300000,50000,1,0,1,0,1.0,0,0,0,0,1
10,1163750.0,1050000,70000,1,0,1,0,0.0,0,1,0,0,0
6,727500.0,465000,25000,1,0,1,0,0.0,0,1,0,0,0
13,204615.38461538462,130000,80000,1,0,1,0,1.0,0,1,0,0,0
6,473912.54207436397,434999,10000,1,0,1,0,0.0,0,0,0,0,1
6,517857.14285714284,500000,32000,1,0,1,0,0.0,0,0,0,0,1
6,180000.0,200000,10000,1,0,1,0,0.0,0,0,0,0,1
7,621000.0,625000,52000,1,1,0,0,0.0,0,0,0,0,1
18,120000.0,110000,120000,1,0,1,0,2.0,0,1,0,0,0
5,473912.54207436397,800000,11240,1,0,1,0,0.0,0,0,0,0,1
7,310000.0,490000,66000,1,1,0,0,0.0,0,1,0,0,0
7,637500.0,880000,64000,1,1,0,0,0.0,0,1,0,0,0
11,155000.0,290000,49000,1,0,1,0,0.0,0,0,0,0,1
18,473912.54207436397,115999,100000,1,0,1,0,1.0,0,1,0,0,0
6,267647.0588235294,360000,26500,1,0,1,0,0.0,0,0,0,0,1
22,101052.63157894737,65000,100000,1,0,1,0,1.0,0,0,0,0,1
7,473912.54207436397,685000,72000,1,1,0,0,0.0,0,1,0,0,0
15,473912.54207436397,300000,50000,1,0,1,0,0.0,0,0,0,0,1
7,698333.3333333334,680000,44000,1,1,0,0,0.0,0,1,0,0,0
7,920000.0,1000000,60000,1,0,1,0,1.0,0,1,0,0,0
22,473912.54207436397,100000,120000,1,0,1,0,0.0,0,1,0,0,0
14,319999.6666666667,160000,130000,1,0,1,0,0.0,0,1,0,0,0
7,586666.6666666666,450000,70000,1,0,1,0,0.0,0,1,0,0,0
10,541666.6666666666,600000,20000,1,0,1,0,0.0,0,0,0,0,1
15,473912.54207436397,180000,60000,1,0,1,0,1.0,0,1,0,0,0
17,125317.0487804878,100000,195000,1,0,1,0,0.0,0,0,0,0,1
14,124829.24390243902,120000,90000,1,0,1,0,1.0,0,0,0,0,1
18,473912.54207436397,130000,80000,1,0,1,0,2.0,0,0,0,0,1
13,350000.0,160000,155000,1,0,1,0,0.0,0,0,0,0,1
5,664300.0,860000,35000,1,0,1,0,0.0,0,1,0,0,0
6,493750.0,650000,20000,1,0,1,0,1.0,0,0,0,0,1
14,144550.0,100000,80000,1,0,1,0,1.0,0,0,0,0,1
7,227749.91666666666,282000,20000,1,0,1,0,0.0,0,0,0,0,1
15,525000.0,300000,50000,1,0,1,0,0.0,0,0,0,0,1
14,272500.0,270000,110000,1,0,1,0,1.0,0,0,0,0,1
11,486538.3846153846,550000,29000,1,0,1,0,0.0,0,1,0,0,0
11,473912.54207436397,450000,120000,1,0,1,0,0.0,0,1,0,0,0
13,390000.0,430000,70000,1,0,1,0,1.0,0,1,0,0,0
11,473912.54207436397,350000,40000,1,0,1,0,0.0,0,0,0,0,1
7,473912.54207436397,350000,20000,1,0,1,0,0.0,0,0,0,0,1
11,473912.54207436397,229999,50000,1,0,1,0,1.0,0,0,0,0,1
11,241995.6595744681,110000,50000,1,0,1,0,0.0,0,0,0,0,1
12,381500.0,395000,49000,1,0,1,0,1.0,0,0,0,0,1
13,418333.3333333333,650000,70000,0,0,1,0,1.0,0,1,0,0,0
13,307285.5714285714,350000,90000,1,0,1,0,1.0,0,1,0,0,0
4,473912.54207436397,1400000,25000,1,1,0,0,0.0,0,1,0,0,0
6,500750.0,360000,4000,1,0,1,0,0.0,0,0,0,0,1
6,473912.54207436397,1300000,10000,1,0,1,0,0.0,0,1,0,0,0
9,495000.0,800000,15000,1,0,1,0,0.0,0,1,0,0,0
6,251874.9375,229999,30000,1,0,1,0,0.0,0,0,0,0,1
10,226666.66666666666,315000,41000,1,1,0,0,0.0,0,0,0,0,1
12,157000.0,125000,28000,1,0,1,0,0.0,0,0,0,0,1
5,473912.54207436397,700000,16000,1,0,1,0,0.0,0,0,0,0,1
9,170000.0,160000,70000,1,0,1,0,0.0,0,0,0,0,1
7,465000.0,530000,10832,1,1,0,0,0.0,0,0,0,0,1
6,473912.54207436397,624000,14681,1,1,0,0,0.0,0,1,0,0,0
15,202499.83333333334,250000,50000,1,0,1,0,0.0,0,0,0,0,1
8,273714.14285714284,585000,51000,1,1,0,0,0.0,0,1,0,0,0
9,330000.0,500000,25000,1,0,1,0,0.0,0,0,0,0,1
10,473912.54207436397,350000,30000,1,0,1,0,0.0,0,0,0,0,1
10,650000.0,495000,80000,1,1,0,0,0.0,0,1,0,0,0
7,517857.14285714284,500000,50000,1,0,1,0,0.0,0,0,0,0,1
9,565000.0,430000,200000,1,0,1,0,0.0,0,1,0,0,0
11,525000.0,345000,44000,1,1,0,0,0.0,0,0,0,0,1
9,473912.54207436397,500000,10000,1,0,1,0,0.0,0,0,0,0,1
5,484500.0,425000,19600,1,0,1,0,0.0,0,0,0,0,1
19,136571.42857142858,80000,40000,1,0,1,0,1.0,0,0,0,0,1
13,192272.72727272726,106000,50000,1,0,1,0,0.0,0,1,0,0,0
15,145000.0,180000,46730,1,0,1,0,0.0,0,0,0,0,1
9,473912.54207436397,250000,40000,1,0,1,0,1.0,0,0,0,0,1
13,473912.54207436397,350000,80000,1,0,1,0,0.0,0,1,0,0,0
22,473912.54207436397,60000,80000,1,0,1,0,1.0,0,0,0,0,1
6,849500.0,900000,24000,1,0,1,0,0.0,0,1,0,0,0
7,600000.0,700000,21170,1,1,0,0,0.0,0,1,0,0,0
11,1490000.0,2000000,167223,0,1,0,0,0.0,0,1,0,0,0
7,920000.0,1000000,40000,1,0,1,0,0.0,0,1,0,0,0
13,473912.54207436397,1375000,60000,0,0,1,0,0.0,0,1,0,0,0
8,473912.54207436397,1800000,141440,1,1,0,0,0.0,0,1,0,0,0
17,300000.0,160000,120000,1,0,1,0,2.0,0,1,0,0,0
12,473912.54207436397,525000,140000,0,0,1,0,0.0,0,0,0,0,1
12,689400.0,850000,212814,1,1,0,0,0.0,0,1,0,0,0
5,702142.8571428572,800000,30000,1,0,1,0,0.0,0,1,0,0,0
7,543333.3333333334,700000,88635,1,1,0,0,0.0,0,1,0,0,0
6,487528.2641509434,800000,25000,1,0,1,0,0.0,0,1,0,0,0
7,512500.0,575000,20000,1,0,1,0,1.0,0,0,0,0,1
12,522142.5714285714,350000,110000,1,0,1,0,1.0,0,1,0,0,0
16,224545.36363636365,250000,120000,1,0,1,0,2.0,0,1,0,0,0
13,473912.54207436397,600000,149674,1,1,0,0,1.0,0,1,0,0,0
17,473912.54207436397,370000,100000,1,0,1,0,2.0,0,1,0,0,0
18,163000.0,80000,120000,1,0,1,0,2.0,0,0,0,0,1
21,473912.54207436397,50000,120000,1,0,1,0,1.0,0,1,0,0,0
6,849500.0,900000,25000,1,0,1,0,0.0,0,1,0,0,0
10,302599.96,300000,35000,1,0,1,0,1.0,0,0,0,0,1
22,60555.5,125000,40000,1,0,1,0,0.0,0,0,0,0,1
9,493377.320754717,490000,60000,1,0,1,0,1.0,0,1,0,0,0
12,401666.3333333333,300000,50000,1,0,1,0,1.0,0,1,0,0,0
11,473912.54207436397,55000,25000,1,0,1,0,3.0,0,0,0,0,1
8,374500.0,350000,25000,1,0,1,0,0.0,0,0,0,0,1
5,582500.0,755000,8000,1,0,1,0,0.0,0,1,0,0,0
7,710714.2857142857,720000,60000,1,0,1,0,0.0,0,1,0,0,0
18,324428.5714285714,229999,200000,1,0,1,0,2.0,0,1,0,0,0
6,473912.54207436397,1100000,20000,1,0,1,0,0.0,0,1,0,0,0
11,375000.0,400000,100000,1,0,1,0,0.0,0,0,0,0,1
9,402500.0,350000,70000,1,0,1,0,1.0,0,1,0,0,0
12,130000.0,159000,68000,1,1,0,0,0.0,0,1,0,0,0
7,473912.54207436397,550000,38000,1,1,0,0,0.0,0,0,0,0,1
11,232944.44444444444,335000,80000,1,1,0,0,0.0,0,1,0,0,0
10,473912.54207436397,185000,72000,1,1,0,0,0.0,1,0,0,0,0
12,294999.75,229999,75000,1,1,0,0,0.0,1,0,0,0,0
10,473912.54207436397,225000,43000,1,1,0,0,0.0,0,0,0,0,1
17,473912.54207436397,250000,120000,1,0,1,0,1.0,0,0,0,0,1
9,473912.54207436397,400000,100000,1,0,1,0,0.0,0,1,0,0,0
10,446222.18518518517,470000,163000,1,0,1,0,0.0,0,1,0,0,0
6,473912.54207436397,300000,25000,0,0,1,0,0.0,0,0,0,0,1
13,114103.37931034483,145000,25000,1,0,1,0,0.0,0,0,0,0,1
17,120000.0,100000,90000,1,0,1,0,1.0,0,0,0,0,1
10,505999.8,500000,70000,1,0,1,0,1.0,0,1,0,0,0
14,473912.54207436397,130000,98000,1,0,1,0,1.0,1,0,0,0,0
14,468571.4285714286,240000,81925,1,0,1,0,0.0,0,1,0,0,0
11,258750.0,150000,80000,1,0,1,0,1.0,0,1,0,0,0
7,267500.0,270000,40000,1,0,1,0,0.0,0,0,0,0,1
10,495075.43396226416,400000,90000,1,0,1,0,0.0,0,1,0,0,0
12,244037.03703703705,200000,46000,1,0,1,0,0.0,0,0,0,0,1
12,770833.3333333334,550000,80000,1,0,1,0,0.0,0,1,0,0,0
6,338461.53846153844,325000,35000,1,0,1,0,0.0,0,0,0,0,1
7,473912.54207436397,860000,82080,0,0,1,0,0.0,0,1,0,0,0
12,706066.6666666666,600000,200000,1,0,1,0,0.0,0,1,0,0,0
15,92897.33333333333,125000,70000,1,0,1,0,0.0,0,0,0,0,1
14,160000.0,300000,120000,1,0,1,0,2.0,0,1,0,0,0
17,233000.0,190000,60000,1,0,1,0,2.0,0,0,0,0,1
11,586899.9,400000,110000,1,0,1,0,0.0,0,1,0,0,0
13,250999.0,260000,97000,1,0,1,0,1.0,0,1,0,0,0
7,473912.54207436397,400000,30000,1,0,1,0,0.0,0,0,0,0,1
14,473912.54207436397,250000,40000,1,0,1,0,0.0,0,0,0,0,1
5,503571.4285714286,600000,10000,1,0,1,0,0.0,0,0,0,0,1
14,205000.0,175000,52047,1,0,1,0,0.0,0,0,0,0,1
13,457999.8,450000,200000,1,0,1,0,2.0,0,1,0,0,0
5,473912.54207436397,350000,15000,0,0,1,0,1.0,0,0,0,0,1
6,890000.0,800000,50000,1,0,1,0,0.0,0,1,0,0,0
13,210000.0,250000,70000,1,0,1,0,1.0,0,0,0,0,1
5,500000.0,600000,10000,1,0,1,0,0.0,0,0,0,0,1
7,441407.3703703704,600000,90000,1,0,1,0,0.0,0,1,0,0,0
8,241570.12765957447,130000,40000,1,0,1,0,0.0,0,0,0,0,1
18,135857.14285714287,90000,62009,1,0,1,0,1.0,0,0,0,0,1
7,606666.6666666666,595000,33100,1,0,1,0,1.0,0,0,0,0,1
10,244407.40740740742,190000,40000,1,0,1,0,1.0,0,0,0,0,1
17,144800.0,95000,80000,1,0,1,0,0.0,0,0,0,0,1
